Location,cause,Year,deaths
World,Iron deficiency,1995,118014.5763
World,Low birth weight for gestation,1995,1852109.618
World,Low bonemineraldensity,1995,170745.4745
World,Low physicalactivity,1995,919262.5561
World,No access to handwashing facility,1995,1144503.939
World,Nonexclusive breastfeeding,1995,425889.4485
World,Secondhand smoke,1995,1253577.032
World,Smoking,1995,6170797.452
World,Unsafe sanitation,1995,1484244.305
World,Unsafe sex,1995,903917.1408
World,Unsafe watersource,1995,1931065.508
World,VitaminA deficiency,1995,890661.5937
World,Zinc deficiency,1995,118112.9492
World,Air Pollution,1995,4755628.878
World,Indoor Air Pollution,1995,2521547.506
World,Outdoor Air Pollution,1995,2397545.17
World,Alcohol use,1996,2168153.976
World,Child stunting,1996,838444.52
World,Child wasting,1996,2924737.715
World,Diet high in red meat,1996,13909.25571
World,Diet high in sodium,1996,2325141.334
World,Diet low  in nutsandseeds,1996,1547947.559
World,Diet low in calcium,1996,118591.7415
World,Diet low in fiber,1996,655942.1525
World,Diet low in fruits,1996,2104880.576
World,Diet low in legumes,1996,447422.1158
World,Diet low in seafood omega3fattyacids,1996,1094676.828
World,Diet low in vegetables,1996,1381912.698
World,Diet low in whole grains,1996,2394579.799
World,Discontinued breastfeeding,1996,26123.42414
World,Drugs,1996,353115.8404
World,High bloodpressure,1996,7568246.535
World,High bodymass  index,1996,2632155.462
World,High fasting plasma glucose,1996,3948468.265
World,Iron deficiency,1996,116431.4183
World,Low birth weight for gestation,1996,1816486.809
World,Low bonemineraldensity,1996,174112.7651
World,Low physicalactivity,1996,917587.2266
World,No access to handwashing facility,1996,1116519.757
World,Nonexclusive breastfeeding,1996,405322.2782
World,Secondhand smoke,1996,1241763.527
World,Smoking,1996,6180919.478
World,Unsafe sanitation,1996,1440235.417
World,Unsafe sex,1996,992796.206
World,Unsafe watersource,1996,1877778.83
World,VitaminA deficiency,1996,862841.4946
World,Zinc deficiency,1996,111752.8662
World,Air Pollution,1996,4749140.8
World,Indoor Air Pollution,1996,2477283.308
World,Outdoor Air Pollution,1996,2435198.13
World,Alcohol use,1997,2199073.322
World,Child stunting,1997,808508.6873
World,Child wasting,1997,2823961.948
World,Diet high in red meat,1997,13955.93368
World,Diet high in sodium,1997,2321722.478
World,Diet low  in nutsandseeds,1997,1554595.104
World,Diet low in calcium,1997,120290.4821
World,Diet low in fiber,1997,658604.4094
World,Diet low in fruits,1997,2118314.292
World,Diet low in legumes,1997,443554.5431
World,Diet low in seafood omega3fattyacids,1997,1102405.601
World,Diet low in vegetables,1997,1384802.944
World,Diet low in whole grains,1997,2409551.196
World,Discontinued breastfeeding,1997,24776.91639
World,Drugs,1997,361142.9969
World,High bloodpressure,1997,7626124.418
World,High bodymass  index,1997,2688066.122
World,High fasting plasma glucose,1997,4033219.042
World,Iron deficiency,1997,117106.431
World,Low birth weight for gestation,1997,1796149.096
World,Low bonemineraldensity,1997,178978.3957
World,Low physicalactivity,1997,919434.1286
World,No access to handwashing facility,1997,1096678.272
World,Nonexclusive breastfeeding,1997,386961.367
World,Secondhand smoke,1997,1232722.03
World,Smoking,1997,6208120.345
World,Unsafe sanitation,1997,1409441.51
World,Unsafe sex,1997,1076179.048
World,Unsafe watersource,1997,1840394.52
World,VitaminA deficiency,1997,830357.7959
World,Zinc deficiency,1997,106098.0068
World,Air Pollution,1997,4766895.258
World,Indoor Air Pollution,1997,2456653.199
World,Outdoor Air Pollution,1997,2474685.61
World,Alcohol use,1998,2236838.89
World,Child stunting,1998,779021.0352
World,Child wasting,1998,2727432.701
World,Diet high in red meat,1998,14153.74091
World,Diet high in sodium,1998,2326097.78
World,Diet low  in nutsandseeds,1998,1559530.612
World,Diet low in calcium,1998,122564.5556
World,Diet low in fiber,1998,661045.8317
World,Diet low in fruits,1998,2129233.963
World,Diet low in legumes,1998,442196.3334
World,Diet low in seafood omega3fattyacids,1998,1105662.444
World,Diet low in vegetables,1998,1384808.083
World,Diet low in whole grains,1998,2424625.841
World,Discontinued breastfeeding,1998,23887.01349
World,Drugs,1998,372086.7041
World,High bloodpressure,1998,7688173.701
World,High bodymass  index,1998,2754377.071
World,High fasting plasma glucose,1998,4117958.719
World,Iron deficiency,1998,117451.8743
World,Low birth weight for gestation,1998,1775232.115
World,Low bonemineraldensity,1998,183587.7053
